freq_hz,freq_over_rbw,magnitude_db
3362.5,3.3625,-96.5284281201266
3368.75,3.36875,-95.3932386257473
3375,3.375,-94.4147886751659
3381.25,3.38125,-93.5608277939112
3387.5,3.3875,-92.8086694067248
3393.75,3.39375,-92.1417632158222
3400,3.4,-91.5476797585887
3406.25,3.40625,-91.0168619907417
3412.5,3.4125,-90.5418184312722
3418.75,3.41875,-90.116582964213
3425,3.425,-89.7363422676671
3431.25,3.43125,-89.3971722893645
3437.5,3.4375,-89.0958477967623
3443.75,3.44375,-88.8297021912429
3450,3.45,-88.596522712733
3456.25,3.45625,-88.3944710985718
3462.5,3.4625,-88.2220229171349
3468.75,3.46875,-88.0779208669479
3475,3.475,-87.9611387214683
3481.25,3.48125,-87.8708535520314
3487.5,3.4875,-87.8064245306309
3493.75,3.49375,-87.7673770939003
3500,3.5,-87.7533916045471
3506.25,3.50625,-87.764295917017
3512.5,3.5125,-87.8000614704058
3518.75,3.51875,-87.8608027146821
3525,3.525,-87.9467798421292
3531.25,3.53125,-88.0584049593654
3537.5,3.5375,-88.1962520112942
3543.75,3.54375,-88.3610709700672
3550,3.55,-88.5538070518847
3556.25,3.55625,-88.7756260458704
3562.5,3.5625,-89.027947270428
3568.75,3.56875,-89.3124862667269
3575,3.575,-89.6313101807905
3581.25,3.58125,-89.9869100015667
3587.5,3.5875,-90.3822956221917
3593.75,3.59375,-90.8211224130865
3600,3.6,-91.3078622141105
3606.25,3.60625,-91.8480383684026
3612.5,3.6125,-92.4485554324787
3618.75,3.61875,-93.1181728747567
3625,3.625,-93.8682050020623
3631.25,3.63125,-94.713590065928
3637.5,3.6375,-95.6745895217902
3643.75,3.64375,-96.7796228488188
3650,3.65,-98.0702904014394
3656.25,3.65625,-99.6109864757485
3662.5,3.6625,-101.509285937324
3668.75,3.66875,-103.965901387933
3675,3.675,-107.427651225331
3681.25,3.68125,-113.293251338935
3687.5,3.6875,-142.295415617084
3693.75,3.69375,-113.958754469076
3700,3.7,-107.798775988797
3706.25,3.70625,-104.256034621251
3712.5,3.7125,-101.771705840341
3718.75,3.71875,-99.8669658778493
3725,3.725,-98.3304274383266
3731.25,3.73125,-97.049933680739
3737.5,3.7375,-95.9587926280223
3743.75,3.74375,-95.0141211924708
3750,3.75,-94.1867243680824
3756.25,3.75625,-93.4558415574512
3762.5,3.7625,-92.8061963035016
