freq_hz,freq_over_rbw,magnitude_db
2006.25,2.00625,-69.6475196680205
2012.5,2.0125,-73.0527870082326
2018.75,2.01875,-79.0128201973648
2025,2.025,-126.742675281389
2031.25,2.03125,-79.1999052630779
2037.5,2.0375,-73.3191793649709
2043.75,2.04375,-70.0171274157439
2050,2.05,-67.8106194176429
2056.25,2.05625,-66.2377449426535
2062.5,2.0625,-65.0951424304529
2068.75,2.06875,-64.2769502563188
2075,2.075,-63.7230235454348
2081.25,2.08125,-63.3982152289875
2087.5,2.0875,-63.2830169228047
2093.75,2.09375,-63.3692104552594
2100,2.1,-63.6582138354232
2106.25,2.10625,-64.1613597329774
2112.5,2.1125,-64.9022298945954
2118.75,2.11875,-65.92215684947
2125,2.125,-67.2920135912861
2131.25,2.13125,-69.1390505478962
2137.5,2.1375,-71.7176497783402
2143.75,2.14375,-75.651380893151
2150,2.15,-83.3662550550911
2156.25,2.15625,-90.5777366684762
2162.5,2.1625,-78.0500694331139
2168.75,2.16875,-73.2822900083809
2175,2.175,-70.3946542887622
2181.25,2.18125,-68.4112719828144
2187.5,2.1875,-66.9824458356268
2193.75,2.19375,-65.9441205187842
2200,2.2,-65.2079526681242
2206.25,2.20625,-64.7229773681119
2212.5,2.2125,-64.4595427617023
2218.75,2.21875,-64.4019003734624
2225,2.225,-64.5448333339274
2231.25,2.23125,-64.8926246184288
2237.5,2.2375,-65.4599017056186
2243.75,2.24375,-66.2747351850186
2250,2.25,-67.3855277258867
2256.25,2.25625,-68.8758823577628
2262.5,2.2625,-70.8996284037111
2268.75,2.26875,-73.7790337231041
2275,2.275,-78.3816348238737
2281.25,2.28125,-89.2387651906488
2287.5,2.2875,-85.8084876840002
2293.75,2.29375,-77.4041864493143
2300,2.3,-73.3761283220071
2306.25,2.30625,-70.8082893179413
2312.5,2.3125,-69.0089871410906
2318.75,2.31875,-67.7039026152
2325,2.325,-66.757759880199
2331.25,2.33125,-66.0957581618612
2337.5,2.3375,-65.6743319820281
2343.75,2.34375,-65.4684367417267
2350,2.35,-65.4656182667027
2356.25,2.35625,-65.6634298634902
2362.5,2.3625,-66.0689533677293
2368.75,2.36875,-66.7002120232777
2375,2.375,-67.5901179853571
2381.25,2.38125,-68.7950071953219
2387.5,2.3875,-70.4133529396203
2393.75,2.39375,-72.6316366374612
2400,2.4,-75.8622505025299
2406.25,2.40625,-81.3512789191143
2412.5,2.4125,-100.885101841092
2418.75,2.41875,-83.4910353822007
2425,2.425,-77.047285179165
2431.25,2.43125,-73.5528332988074
2437.5,2.4375,-71.2417652827771
2443.75,2.44375,-69.5984433223599
2450,2.45,-68.4018812819604
2456.25,2.45625,-67.5386488824717
2462.5,2.4625,-66.9447209611279
2468.75,2.46875,-66.5826504733851
2475,2.475,-66.4313515702799
2481.25,2.48125,-66.4813288737899
2487.5,2.4875,-66.7327558477924
2493.75,2.49375,-67.1955089051018
2500,2.5,-67.8911722979301
2506.25,2.50625,-68.8579496773417
2512.5,2.5125,-70.1611769699882
2518.75,2.51875,-71.916891227701
2525,2.525,-74.3522664957043
2531.25,2.53125,-78.0023427990691
2537.5,2.5375,-84.7422444055013
2543.75,2.54375,-99.4732647790941
2550,2.55,-82.1323084247195
2556.25,2.55625,-76.8713368940138
2562.5,2.5625,-73.7837771800662
2568.75,2.56875,-71.685204909368
2575,2.575,-70.1768841833289
2581.25,2.58125,-69.0771020805419
2587.5,2.5875,-68.2894960677539
2593.75,2.59375,-67.758820684587
2600,2.6,-67.4527983047269
2606.25,2.60625,-67.3538177783424
2612.5,2.6125,-67.4550996895588
2618.75,2.61875,-67.7593488906185
2625,2.625,-68.2792838936554
2631.25,2.63125,-69.0402774027781
2637.5,2.6375,-70.0863816017824
