profile,mode,design_method,candidate_label,rbw_hz,cic_r,cic_n,fs_out_hz,fir_taps,observe_points,skip_points,fir_cutoff_norm,design_opts_json,design_opts,bw_3db_hz,bw_6db_hz,enbw_main_hz,enbw_full_adc_hz,enbw_main_over_rbw,enbw_full_over_rbw,enbw_error_pct,noise_correction_db,passband_flatness_db,att_0p5_x_rbw_db,att_1_x_rbw_db,att_2_x_rbw_db,att_5_x_rbw_db,att_10_x_rbw_db,alias_1000hz_hz,alias_1000hz_db,alias_3000hz_hz,alias_3000hz_db,alias_10000hz_hz,alias_10000hz_db,alias_10200hz_hz,alias_10200hz_db,alias_14000hz_hz,alias_14000hz_db,alias_100000hz_hz,alias_100000hz_db,alias_geometry_risk,status,recommendation
alias_rework_1k,100K,kaiser,kaiser cutoff=0.74xRBW beta=9.0,100000,130,5,1000000,128,384,64,0.074,cutoff_hz=74000;kaiser_beta=9,,69220.7844943179,73540.0769187913,135970.062728182,NaN,1.35970062728182,NaN,35.9700627281817,1.33443297905771,0.114356193152001,-0.178612034924593,-101.115029987412,-107.854301323437,-321.311539788315,-1574.38663749123,1000,-8.34136295092908e-05,3000,-0.000738353155451792,10000,-0.00733387864559359,10200,-0.0076116407848309,14000,-0.0140008146817384,100000,-101.115029987412,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.76xRBW beta=9.0,100000,130,5,1000000,128,384,64,0.076,cutoff_hz=76000;kaiser_beta=9,,71182.5320162439,75515.7041268649,139651.568117659,NaN,1.39651568117659,NaN,39.6515681176587,1.45045816664468,0.114463741080607,-0.178975852513176,-90.6825437835313,-115.194371666021,-322.096788538031,-1574.38663749123,1000,-7.98978489220874e-05,3000,-0.000711155970697376,10000,-0.00730696697575868,10200,-0.00758807392605358,14000,-0.0140046398700794,100000,-90.6825437835313,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.78xRBW beta=9.0,100000,130,5,1000000,128,384,64,0.078,cutoff_hz=78000;kaiser_beta=9,,73142.887963063,77490.5759987228,143317.873155638,NaN,1.43317873155638,NaN,43.3178731556382,1.56300354590194,0.114474862605159,-0.179009351300337,-79.0219546744125,-115.251147324182,-322.33102734174,-1574.38663749123,1000,-7.11670870988931e-05,3000,-0.000641726674386496,10000,-0.00717283376511726,10200,-0.00746186914438704,14000,-0.0140061558205556,100000,-79.0219546744125,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.8xRBW beta=9.0,100000,130,5,1000000,128,384,64,0.08,cutoff_hz=80000;kaiser_beta=9,,75101.9175063053,79464.803937534,146966.481987628,NaN,1.46966481987628,NaN,46.9664819876279,1.67218298369728,0.11436795879019,-0.178675256308624,-59.7328661705862,-107.648487787341,-322.835080357576,-1574.38663749123,1000,-6.32270481393536e-05,3000,-0.000577916990587069,10000,-0.00702637811727508,10200,-0.00732243633578766,14000,-0.0140032614195554,100000,-59.7328661705862,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.36xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.036,cutoff_hz=36000;kaiser_beta=11,,31291.7410238822,35862.4493919204,62404.1277245526,NaN,0.624041277245526,NaN,-37.5958722754474,-2.04786682934446,10.0992810771024,-27.6445811046893,-126.607463470501,-130.159845838693,-325.00938724527,-1574.38663749123,1000,-8.17028802353774e-05,3000,-0.000714196316918866,10000,-0.00788680478955971,10200,-0.00834768695789559,14000,-0.0294023639974859,100000,-126.607463470501,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.38xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.038,cutoff_hz=38000;kaiser_beta=11,,33273.4642464795,37849.628456818,66333.1769000283,NaN,0.663331769000283,NaN,-33.6668230999717,-1.78269202503945,7.94425135909323,-23.0625756988331,-118.763109598223,-154.637247467059,-324.374570979122,-1574.38663749123,1000,-7.53929615959351e-05,3000,-0.000675676409621298,10000,-0.00714433054888208,10200,-0.00745045239054454,14000,-0.0182911794813302,100000,-118.763109598223,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.4xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.04,cutoff_hz=40000;kaiser_beta=11,,35254.1538231036,39836.0791719388,70254.1537484725,NaN,0.702541537484725,NaN,-29.7458462515275,-1.53327993177888,6.1349292304898,-19.0946028473737,-120.570728692754,-130.810312711093,-323.62942251293,-1574.38663749123,1000,-6.70649290758049e-05,3000,-0.000613178625028744,10000,-0.00710476800685824,10200,-0.00738846699443574,14000,-0.0146883476646143,100000,-120.570728692754,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.42xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.042,cutoff_hz=42000;kaiser_beta=11,,37233.5795241227,41821.7785330069,74165.5797241227,NaN,0.741655797241227,NaN,-25.8344202758773,-1.29797604210911,4.63831110668678,-15.6611037777758,-139.546961411501,-127.722925356043,-324.699129607016,-1574.38663749123,1000,-6.4937927348174e-05,3000,-0.000593822416315212,10000,-0.00712539501029022,10200,-0.0074164549776306,14000,-0.0139580932355004,100000,-139.546961411501,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.44xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.044,cutoff_hz=44000;kaiser_beta=11,,39211.748079521,43806.7547190747,78066.5678089533,NaN,0.780665678089533,NaN,-21.9334321910467,-1.07534913941302,3.42310487743247,-12.7006275712213,-118.570478044096,-131.415990221128,-326.009809239147,-1574.38663749123,1000,-6.895773989245e-05,3000,-0.000622409539041803,10000,-0.00713043687525574,10200,-0.00742363830158182,14000,-0.0139810230912413,100000,-118.570478044096,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.46xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.046,cutoff_hz=46000;kaiser_beta=11,,41188.6504050362,45790.9799723699,81957.0543557537,NaN,0.819570543557537,NaN,-18.0429456442463,-0.864136591047982,2.45864679233246,-10.1636641490254,-117.439639233327,-146.076875845395,-328.156878999975,-1574.38663749123,1000,-7.41876173726295e-05,3000,-0.000662731848151164,10000,-0.00714899334157892,10200,-0.00743762882747121,14000,-0.0140397316538852,100000,-117.439639233327,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.48xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.048,cutoff_hz=48000;kaiser_beta=11,,43164.2882141333,47774.4699778413,85837.2836564413,NaN,0.858372836564413,NaN,-14.1627163435587,-0.663240341884723,1.71422111572078,-8.00867613596746,-130.184776886055,-129.386004403731,-331.803574474757,-1574.38663749123,1000,-7.61967115286716e-05,3000,-0.000679565602456429,10000,-0.00717337374534511,10200,-0.00745802113285746,14000,-0.014025548439246,100000,-130.184776886055,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.5xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.05,cutoff_hz=50000;kaiser_beta=11,,45138.7844650198,49757.3003797093,89707.152368858,NaN,0.89707152368858,NaN,-10.292847631142,-0.471729291912041,1.15877014674814,-6.19937301598084,-118.655202002425,-127.706986789095,-333.898727647103,-1574.38663749123,1000,-7.41405651849734e-05,3000,-0.000664682311813184,10000,-0.00717551423626786,10200,-0.00746065031399481,14000,-0.0139934025423438,100000,-118.655202002425,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.52xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.052,cutoff_hz=52000;kaiser_beta=11,,47112.1630307413,51739.4650952872,93565.9519479437,NaN,0.935659519479437,NaN,-6.43404805205629,-0.288821595015005,0.761021480812864,-4.70272354246588,-115.05868907743,-133.279736237769,-334.506288183174,-1574.38663749123,1000,-7.03758829276621e-05,3000,-0.000635509781665895,10000,-0.00714895919835247,10200,-0.00743761933769725,14000,-0.0139836615843421,100000,-115.05868907743,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.54xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.054,cutoff_hz=54000;kaiser_beta=11,,49084.3972650068,53720.8730018814,97412.6251885029,NaN,0.974126251885029,NaN,-2.58737481149713,-0.113847526247891,0.490063874722297,-3.48745774264623,-122.802937329664,-138.253581297733,-330.218500431205,-1574.38663749123,1000,-6.79897437787044e-05,3000,-0.000616290174287013,10000,-0.00711644895850932,10200,-0.00740805323089453,14000,-0.0139944695108052,100000,-122.802937329664,0,NEEDS_TAPS,"Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.56xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.056,cutoff_hz=56000;kaiser_beta=11,,51055.3892322205,55701.4941258226,101246.255487403,NaN,1.01246255487403,NaN,1.24625548740316,0.0537897014616191,0.316343944544371,-2.52296071540324,-118.035286958024,-128.262774217208,-327.20367918187,-1574.38663749123,1000,-6.84713970794644e-05,3000,-0.000619380495120145,10000,-0.00710611689232572,10200,-0.00739782774772226,14000,-0.0140073030846337,100000,-118.035286958024,0,NEEDS_TAPS,"Increase FIR taps or broaden method sweep; current tap budget is close but misses rejection/flatness targets."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.58xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.058,cutoff_hz=58000;kaiser_beta=11,,53025.1208941052,57681.3767780354,105066.392386237,NaN,1.05066392386237,NaN,5.06639238623727,0.21463820354526,0.212936461578427,-1.778546830529,-112.835741438822,-127.927362238913,-322.744632246778,-1574.38663749123,1000,-7.10150066730268e-05,3000,-0.000639060178392332,10000,-0.00712597364197189,10200,-0.00741538409006957,14000,-0.0140106963265713,100000,-112.835741438822,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.6xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.06,cutoff_hz=60000;kaiser_beta=11,,54993.5987243603,59660.5367984605,108872.999376742,NaN,1.08872999376742,NaN,8.87299937674215,0.369201876012611,0.156809681231838,-1.22314636575297,-120.41464629902,-136.25769952229,-322.095863033344,-1574.38663749123,1000,-7.35169396289923e-05,3000,-0.000658935847369113,10000,-0.0071589625302704,10200,-0.00744580044435988,14000,-0.0140058364694546,100000,-120.41464629902,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
alias_rework_1k,100K,kaiser,kaiser cutoff=0.62xRBW beta=11.0,100000,130,5,1000000,128,384,64,0.062,cutoff_hz=62000;kaiser_beta=11,,56960.6099089856,61638.9520672802,112666.109166708,NaN,1.12666109166708,NaN,12.6661091667079,0.517932965660858,0.129743335328968,-0.825446225165483,-114.850451691232,-134.033174268836,-320.407241198502,-1574.38663749123,1000,-7.42409021827674e-05,3000,-0.000665067440584677,10000,-0.00717891767202749,10200,-0.00746483666849217,14000,-0.0139998533833105,100000,-114.850451691232,0,FAIL,"No acceptable candidate found under this tap/decimation budget; revisit taps, decimation, or explicit ENBW correction."
