mode,scheme_status,design_method,design_options,tap_index,coefficient
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,75,-0.00025545101634898
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,76,-0.000246950875669563
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,77,-0.000237975854876274
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,78,-0.000228527902995916
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,79,-0.000218609611566258
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,80,-0.00020822422215524
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,81,-0.000197375633155484
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,82,-0.000186068405835395
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,83,-0.000174307769628796
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,84,-0.000162099626645842
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,85,-0.000149450555388712
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,86,-0.000136367813656429
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,87,-0.000122859340623985
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,88,-0.000108933758081826
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,89,-9.46003708226484e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,90,-7.98691661634196e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,91,-6.47508125914299e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,92,-4.92566575242362e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,93,-3.33987241742773e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,94,-1.71897075100511e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,95,-6.42969306717991e-07
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,96,1.62274677199102e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,97,3.34069267009228e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,98,5.08800843273073e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,99,6.86309794910753e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,100,8.6643022856154e-05
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,101,0.000104899007359493
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,102,0.000123381119641655
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,103,0.000142070952405048
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,104,0.000160949517696713
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,105,0.00017999726111143
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,106,0.000199194076909696
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,107,0.000218519324043929
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,108,0.000237951843085037
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,109,0.000257469974040302
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,110,0.0002770515750523
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,111,0.000296674041967373
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,112,0.000316314328760988
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,113,0.000335948968806054
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,114,0.000355554096969149
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,115,0.000375105472518355
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,116,0.000394578502825237
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,117,0.000413948267842339
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,118,0.000433189545336393
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,119,0.000452276836856301
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,120,0.000471184394413789
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,121,0.000489886247853558
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,122,0.000508356232888618
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,123,0.000526568019775411
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,124,0.000544495142602311
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,125,0.00056211102916397
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,126,0.000579389031393072
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,127,0.000596302456319945
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,128,0.00061282459752963
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,129,0.000628928767084982
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,130,0.000644588327883531
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,131,0.00065977672641493
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,132,0.000674467525884963
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,133,0.000688634439671314
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,134,0.000702251365075479
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,135,0.000715292417334485
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,136,0.000727731963855397
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,137,0.000739544658634878
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,138,0.000750705476825504
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,139,0.000761189749409903
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,140,0.000770973197943276
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,141,0.000780031969324343
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,142,0.000788342670554306
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,143,0.000795882403443014
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,144,0.000802628799221138
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,145,0.000808560053016867
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,146,0.000813654958155323
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,147,0.000817892940238728
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,148,0.000821254090965111
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,149,0.00082371920164328
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,150,0.000825269796361661
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,151,0.000825888164768591
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,152,0.000825557394421702
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,153,0.00082426140266405
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,154,0.000821984967984832
1K,SCHEME_B_ACCEPTED,kaiser,cutoff_hz=520;kaiser_beta=3,155,0.000818713760822657
