offset_hz,cic_db,fir_db,total_db
312.0,-0.0006954135173555653,-0.010623040816541768,-0.011318454333896935
313.0,-0.0006998784545945488,-0.01109544099734546,-0.011795319451940268
314.0,-0.0007043576797965822,-0.011574702445008309,-0.012279060124804793
315.0,-0.0007088511929914837,-0.012060878701871051,-0.012769729894862497
316.0,-0.0007133589941734596,-0.012554023496279959,-0.013267382490453254
317.0,-0.0007178810833473948,-0.013054190742368625,-0.013772071825716058
318.0,-0.0007224174604931702,-0.013561434539830493,-0.014283852000323217
319.0,-0.0007269681256640323,-0.014075809173690933,-0.014802777299355026
320.0,-0.0007315330788014265,-0.014597369114045994,-0.015328902192847535
321.0,-0.0007361123199539179,-0.015126169015839365,-0.015862281335792896
322.0,-0.0007407058490814173,-0.015662263718622504,-0.01640296956770365
323.0,-0.0007453136662374527,-0.01620570824628059,-0.016951021912517645
324.0,-0.0007499357713733958,-0.01675655780677937,-0.017506493578152888
325.0,-0.0007545721645226633,-0.01731486779192715,-0.018069439956449482
326.0,-0.0007592228456753441,-0.017880693777100734,-0.018639916622776028
327.0,-0.0007638878148215976,-0.018454091520955652,-0.019217979335776826
328.0,-0.0007685670719950521,-0.01903511696520283,-0.019803684037198052
329.0,-0.0007732606171811858,-0.019623826234269056,-0.020397086851449957
330.0,-0.0007779684503645832,-0.020220275635081008,-0.02099824408544523
331.0,-0.0007826905715704042,-0.020824521656732153,-0.021607212228302895
332.0,-0.0007874269807881961,-0.021436620970209458,-0.022224047950997958
333.0,-0.0007921776780230077,-0.022056630428127725,-0.02284880810615109
334.0,-0.0007969426632876728,-0.02268460706437395,-0.02348154972766164
335.0,-0.0008017219365690574,-0.023320608093876368,-0.024122330030445026
336.0,-0.0008065154978772432,-0.023964690912233237,-0.024771206410110148
337.0,-0.0008113233472156318,-0.024616913095456737,-0.025428236442672555
338.0,-0.0008161454845693714,-0.025277332399630814,-0.026093477884200002
339.0,-0.0008209819099497199,-0.025946006760603903,-0.026766988670553743
340.0,-0.0008258326233795788,-0.02662299429366429,-0.027448826917043926
341.0,-0.0008306976248250191,-0.027308353293212746,-0.02813905091803757
342.0,-0.0008355769143158343,-0.028002142232448755,-0.028837719146765032
343.0,-0.0008404704918375248,-0.02870441976301632,-0.029544890254853885
344.0,-0.0008453783574132741,-0.02941524471468864,-0.030260623072101832
345.0,-0.0008503005110046131,-0.03013467609499297,-0.030984976605997337
346.0,-0.0008552369526695855,-0.03086277308892962,-0.03171801004159951
347.0,-0.0008601876823611833,-0.03159959505854115,-0.0324597827409024
348.0,-0.0008651527000922633,-0.032345201542624165,-0.03321035424271636
349.0,-0.000870132005883468,-0.03309965225634747,-0.03396978426223131
350.0,-0.0008751255997198271,-0.03386300709090253,-0.034738132690621974
351.0,-0.0008801334816163373,-0.034635326113114547,-0.035515459594730785
352.0,-0.0008851556515668492,-0.03541666956511396,-0.03630182521668058
353.0,-0.0008901921095739632,-0.03620709786392794,-0.03709728997350218
354.0,-0.0008952428556355283,-0.03700667160112845,-0.03790191445676431
355.0,-0.0009003078897484993,-0.03781545154244789,-0.03871575943219615
356.0,-0.0009053872119455854,-0.038633498627395055,-0.03953888583934047
357.0,-0.0009104808221939855,-0.03946087396885906,-0.040371354791053124
358.0,-0.0009155887205072611,-0.040297638852742845,-0.041213227573250105
359.0,-0.0009207109069067598,-0.04114385473754384,-0.042064565644450644
360.0,-0.0009258473813531408,-0.041999583253981676,-0.042925430635334494
361.0,-0.0009309981438852523,-0.042864886204572246,-0.043795884348457596
362.0,-0.0009361631944937916,-0.04373982556323908,-0.04467598875773292
363.0,-0.000941342533183993,-0.04462446347490794,-0.04556580600809214
364.0,-0.0009465361599409084,-0.04551886225507966,-0.04646539841502085
365.0,-0.0009517440747795571,-0.0464230843894347,-0.047374828464213786
366.0,-0.0009569662777063493,-0.04733719253339176,-0.048294158811097734
367.0,-0.0009622027687152281,-0.04826124951171164,-0.04922345228042699
368.0,-0.0009674535478175667,-0.049195318318052406,-0.05016277186586961
369.0,-0.0009727186150026269,-0.05013946211454751,-0.051112180729549934
370.0,-0.0009779979702819231,-0.051093744231371,-0.05207174220165281
371.0,-0.0009832916136496802,-0.052058228166309325,-0.053041519779958704
372.0,-0.000988599545116589,-0.05303297758430678,-0.054021577129423286
373.0,-0.0009939217646779798,-0.054018056317049395,-0.0550119780817276
374.0,-0.0009992582723533643,-0.05501352836249445,-0.05601278663484752
375.0,-0.0010046090681198896,-0.05601945788442883,-0.05702406695254823
376.0,-0.0010099741519779195,-0.05703590921201848,-0.058045883363996034
377.0,-0.0010153535239655017,-0.05806294683935584,-0.05907830036332142
378.0,-0.0010207471840551724,-0.05910063542500604,-0.060121382609061656
379.0,-0.001026155132252329,-0.06014903979152789,-0.06117519492377991
380.0,-0.0010315773685614753,-0.0612082249250218,-0.06223980229358329
381.0,-0.0010370138929785056,-0.06227825597466697,-0.06331526986764568
382.0,-0.0010424647055090287,-0.06335919825222841,-0.06440166295773717
383.0,-0.001047929806173191,-0.06445111723161824,-0.06549904703779136
384.0,-0.0010534091949381645,-0.06555407854838118,-0.06660748774331919
385.0,-0.0010589028718415966,-0.06666814799924012,-0.06772705087108188
386.0,-0.001064410836871054,-0.0677933915415962,-0.06885780237846774
387.0,-0.0010699330900257467,-0.06892987529306259,-0.06999980838308825
388.0,-0.0010754696313126713,-0.0700776655309576,-0.07115313516227047
389.0,-0.0010810204607321439,-0.07123682869182495,-0.07231784915255687
390.0,-0.0010865855782787634,-0.07240743137092777,-0.07349401694920642
391.0,-0.0010921649839742047,-0.07358954032176399,-0.0746817053057381
392.0,-0.0010977586777833107,-0.07478322245554865,-0.07588098113333187
393.0,-0.0011033666597664745,-0.07598854484073614,-0.07709191150050258
394.0,-0.0011089889298713201,-0.07720557470249093,-0.07831456363236268
395.0,-0.0011146254881169101,-0.07843437942220975,-0.07954900491032649
396.0,-0.0011202763345185207,-0.07967502653694378,-0.08079530287146237
397.0,-0.0011259414690731736,-0.08092758373898028,-0.08205352520805304
398.0,-0.0011316208917654235,-0.08219211887525896,-0.08332373976702473
399.0,-0.001137314602627153,-0.0834686999468574,-0.08460601454948423
400.0,-0.0011430226016478802,-0.08475739510849707,-0.08590041771014512
