mode,offset_hz,current_window_response_db,fixed_window_response_db
1K,7504.032975778838,-45.511672797931524,-129.88442277136102
1K,7763.558576117558,-45.81122657913592,-131.1189495086482
1K,8032.059821612491,-46.11047352503182,-132.78758918750998
1K,8309.847133300596,-46.4094621882607,-140.8620865714851
1K,8597.24166807328,-46.708163671480264,-147.5545440848615
1K,8894.575689973968,-47.00644759517285,-151.85437401929804
1K,9202.19295433695,-47.305457089839436,-106.64572527067102
1K,9520.449105211495,-47.60356868517387,-129.94394937124324
1K,9849.712086530915,-47.90138543192878,-181.66631616295683
1K,10000.0,-48.034006583552355,-304.29152589387115
1K,10190.362567501796,-48.19913154753286,-172.8832142753975
1K,10542.794382705235,-48.49680237514788,-129.04444663309653
1K,10907.414987418822,-48.79386478222868,-108.56927993623214
1K,11284.645928686046,-49.09124786521298,-159.47332726482978
1K,11674.923332677368,-49.38847475551306,-156.50754448973092
1K,12078.698408906568,-49.685542773385606,-153.8219741041338
1K,12496.437971885553,-49.98248588364205,-152.71755258011063
1K,12928.624980820261,-50.279321376239125,-156.5231673955746
1K,13375.759097971873,-50.57605281528182,-141.6700604195732
1K,13838.35726632905,-50.872693148894335,-143.53709865151401
1K,14000.0,-50.97399231273848,-140.97145499911963
1K,14316.954307258644,-51.169244667192515,-140.51886002226203
1K,14812.10353882603,-51.46571521314064,-146.2801608087671
1K,15324.377415500196,-51.76211176836063,-144.54413963643975
1K,15854.368189982655,-52.05843483871874,-153.90066104358883
1K,16402.688597925615,-52.35469186173692,-160.97093549783034
1K,16969.97256633109,-52.65088782006393,-153.82031030503228
1K,17556.875946450058,-52.947024729282475,-160.1598162188622
1K,18164.077272028208,-53.24310785019268,-182.57303277443467
1K,18792.278543775992,-53.53913281669277,-183.86439480792131
1K,19442.206040969577,-53.835151352672234,-154.44634254236658
1K,20114.61116112008,-54.13108535499713,-224.4343781695228
1K,20810.27128868333,-54.42698934238511,-141.42406396705786
1K,21529.990693813845,-54.72283884167112,-190.1989394885266
1K,22274.601462201274,-55.0186693415666,-177.30664640079289
1K,23044.96445706578,-55.314465015133834,-178.73604417934772
1K,23841.970314423957,-55.610228997949946,-165.24879616325663
1K,24666.54047277495,-55.9059640013054,-163.63509582370523
1K,25519.62823839891,-56.2016714335903,-166.9454618107366
1K,26402.21988749867,-56.49735375201693,-180.5551884713247
1K,27315.335806457842,-56.79301211589405,-178.81775670581152
1K,28260.03167153542,-57.08864803462884,-188.96515160899963
1K,29237.399669360017,-57.384268075306466,-158.78703192177562
1K,30248.569759633567,-57.67986277770624,-208.56763929670845
1K,31294.710981506538,-57.97543765305518,-213.14422409656726
1K,32377.032805133524,-58.27100011466434,-192.35205360619392
1K,33496.786529971985,-58.566545890541676,-180.43626319698808
1K,34655.266731440766,-58.862076748252846,-184.03432257605834
1K,35853.812757611704,-59.15759394087917,-188.46840335009546
1K,37093.810277663346,-59.45309817712723,-189.36927297319596
1K,38376.692883887736,-59.74859030574009,-203.77289786410165
1K,39703.943749102866,-60.04407238157925,-212.8090815834
1K,41077.097341385896,-60.339541055015474,-213.8039955824865
1K,42497.74119810995,-60.635003004000644,-208.15891642731953
1K,43967.51776133647,-60.93045473782519,-190.36462755091503
1K,45488.12627668355,-61.225897866505214,-190.35031176520417
1K,47061.324757866154,-61.52133300449569,-203.20213321688914
1K,48688.93201918055,-61.816760512819044,-217.99839369540575
1K,50372.82977828094,-62.112181757888145,-213.1688570752074
