offset_hz,decimator_mag_db,post_10k_fir_mag_db,combined_mag_db
63250.0,-16.96416345321852,-92.83968975529342,-109.80385320851195
63500.0,-17.25928134642466,-85.59377266717794,-102.8530540136026
63750.0,-17.558644616077167,-81.95367827950349,-99.51232289558065
64000.0,-17.862330822079613,-79.68249662650472,-97.54482744858434
64250.0,-18.170420420135184,-78.1901472156892,-96.36056763582438
64500.0,-18.482996921494436,-77.23850887638238,-95.72150579787683
64750.0,-18.80014706407958,-76.7150783113241,-95.51522537540367
65000.0,-19.121960995999004,-76.56718873092402,-95.689149726923
65250.0,-19.448532472573284,-76.7791742314782,-96.22770670405147
65500.0,-19.779959068116533,-77.36650625960007,-97.1464653277166
65750.0,-20.116342403853423,-78.38159127418325,-98.49793367803667
66000.0,-20.45778839350726,-79.93647811722371,-100.39426651073097
66250.0,-20.80440750827013,-82.26825794449726,-103.07266545276741
66500.0,-21.156315063064596,-85.96373340591,-107.1200484689746
66750.0,-21.51363152623162,-93.23913352807266,-114.75276505430428
67000.0,-21.876482855037956,-102.55495775643757,-124.43144061147552
67250.0,-22.245000859687757,-88.8338293837554,-111.07883024344315
67500.0,-22.61932359885968,-83.98590962154955,-106.60523322040923
67750.0,-22.999595810175006,-81.16422176641436,-104.16381757658938
68000.0,-23.385969379445285,-79.33388893913792,-102.71985831858322
68250.0,-23.77860385305437,-78.13625915471538,-101.91486300776974
68500.0,-24.177666998423106,-77.4110244552868,-101.58869145370993
68750.0,-24.583335418180866,-77.08089085299832,-101.66422627117919
69000.0,-24.995795224464565,-77.11362873256252,-102.10942395702709
69250.0,-25.41524278068675,-77.50936819049116,-102.92461097117791
69500.0,-25.841885519192765,-78.30065046844267,-104.14253598763544
69750.0,-26.275942844492448,-79.56528079615082,-105.84122364064328
70000.0,-26.71764713323944,-81.46464407712779,-108.18229121036723
70250.0,-27.16724484388997,-84.36033976882301,-111.52758461271299
70500.0,-27.624997751049854,-89.29959595755732,-116.92459370860716
70750.0,-28.09118432200096,-103.3391580258525,-131.43034234785344
71000.0,-28.56610125584961,-93.65929290415359,-122.22539416000319
71250.0,-29.050065209287894,-86.50718723263437,-115.55725244192226
71500.0,-29.543414737225522,-82.89034651928043,-112.43376125650596
71750.0,-30.04651248171609,-80.62801467598027,-110.67452715769636
72000.0,-30.559747648879238,-79.13893454510568,-109.69868219398492
72250.0,-31.083538821186192,-78.18763912159116,-109.27117794277736
72500.0,-31.618337161894864,-77.66266013853598,-109.28099730043085
72750.0,-32.16463008004593,-77.51176050763026,-109.67639058767618
73000.0,-32.72294543887641,-77.71939449259337,-110.44233993146976
73250.0,-33.29385640854791,-78.30091263484567,-111.59476904339358
73500.0,-33.87798708679404,-79.30828801586438,-113.18627510265843
73750.0,-34.47601903983893,-80.8525222641594,-115.32854130399832
74000.0,-35.088698952618564,-83.16801626642311,-118.25671521904168
74250.0,-35.716847624509086,-86.83263235506318,-122.54947997957228
74500.0,-36.36137060791241,-94.00599926476295,-130.36736987267537
74750.0,-37.02327086704037,-104.00666927495188,-141.02994014199223
75000.0,-37.703663939866445,-89.86409013936023,-127.56775407922666
75250.0,-38.40379622710842,-84.964559862605,-123.36835608971342
75500.0,-39.125067222143215,-82.11899951346247,-121.24406673560568
75750.0,-39.86905675505862,-80.27252862437807,-120.1415853794367
76000.0,-40.63755868246233,-79.06164979475315,-119.69920847721546
76250.0,-41.43262295698209,-78.32419367374108,-119.75681663072316
76500.0,-42.25660872500611,-77.98186772736814,-120.23847645237426
76750.0,-43.11225213495112,-78.00168430672274,-121.11393644167386
77000.0,-44.002754060939154,-78.38295379940787,-122.38570786034703
77250.0,-44.93189523496569,-79.15703509169839,-124.08893032666407
77500.0,-45.904189796850154,-80.39962540913258,-126.30381520598272
77750.0,-46.92509381069111,-82.26756926850074,-129.19266307919185
78000.0,-48.00129427145968,-85.11005842579131,-133.111352697251
78250.0,-49.1411191359736,-89.92289531979469,-139.0640144557683
78500.0,-50.355134948371266,-102.93523510016387,-153.29037004853515
78750.0,-51.65704573212021,-95.00285111058523,-146.65989684270545
79000.0,-53.06509634446806,-87.57430315186609,-140.63939949633414
79250.0,-54.60436393683195,-83.87680983292344,-138.4811737697554
79500.0,-56.310711736812834,-81.5718258154146,-137.88253755222743
79750.0,-58.23810297638712,-80.05348774561955,-138.29159072200667
80000.0,-60.47341946673221,-79.0787222061236,-139.5521416728558
80250.0,-63.17047686771207,-78.53275706796576,-141.70323393567782
80500.0,-66.64390903404225,-78.36145614877155,-145.0053651828138
80750.0,-71.72247601585028,-78.54778153877427,-150.27025755462455
81000.0,-82.50669901189107,-79.10543634386516,-161.61213535575624
81250.0,-81.01284781954956,-80.08394301423613,-161.09679083378566
81500.0,-72.6328166400637,-81.58969156574332,-154.22250820580703
81750.0,-68.87907910133382,-83.84622636252986,-152.7253054638637
82000.0,-66.58032431638765,-87.39668089401447,-153.9770052104021
82250.0,-65.011544660835,-94.190591857441,-159.202136518276
82500.0,-63.88744656697355,-107.34742442561924,-171.2348709925928
82750.0,-63.06646790739833,-91.12253958959664,-154.18900749699498
83000.0,-62.46836400374093,-86.01706254655114,-148.4854265502921
83250.0,-62.04358472316014,-83.08677499230421,-145.13035971546435
83500.0,-61.75972772307163,-81.18982132789878,-142.9495490509704
83750.0,-61.594794793857226,-79.94231506649272,-141.53710986034997
84000.0,-61.533540278753584,-79.17458856370465,-140.70812884245822
84250.0,-61.56537203985841,-78.80468421385982,-140.37005625371822
84500.0,-61.683098273388296,-78.79725952613651,-140.48035779952482
84750.0,-61.882170965464326,-79.14954164350121,-141.03171260896553
85000.0,-62.16024533726806,-79.8903174338023,-142.05056277107036
85250.0,-62.51696175814107,-81.09107844170062,-143.6080401998417
85500.0,-62.95390726282874,-82.89999134992391,-145.85389861275263
85750.0,-63.474749327806954,-85.64318176316937,-149.11793109097633
86000.0,-64.08556759785135,-90.22433856441998,-154.30990616227132
86250.0,-64.7954511180062,-101.63716679544122,-166.43261791344742
86500.0,-65.61749551600789,-96.79538095503534,-162.4128764710432
86750.0,-66.57045791972982,-88.75595364455566,-155.3264115642855
87000.0,-67.68157852251387,-84.89481712876012,-152.576395651274
87250.0,-68.99163748748059,-82.50767695228521,-151.4993144397658
87500.0,-70.56469801534865,-80.93567749200437,-151.50037550735303
87750.0,-72.50886997511012,-79.91984499255322,-152.42871496766332
88000.0,-75.02744701161458,-79.33870331655012,-154.3661503281647
88250.0,-78.57661574039707,-79.13444523548606,-157.71106097588313
88500.0,-84.60385007741212,-79.28736004294092,-163.89121012035304
88750.0,-122.59064333185471,-79.80844044547834,-202.39908377733303
89000.0,-84.99817801199846,-80.74342693080507,-165.74160494280352
89250.0,-79.02859629077719,-82.19186303501914,-161.2204593257963
89500.0,-75.60992330593852,-84.36160798308006,-159.9715312890186
89750.0,-73.23778765107667,-87.74722079724074,-160.98500844831744
90000.0,-71.44383765954854,-94.02615955609886,-165.46999721564737
90250.0,-70.02001429386844,-114.4491920781421,-184.46920637201058
90500.0,-68.85549207559968,-92.58280977861315,-161.43830185421282
90750.0,-67.88418654998081,-87.12794364441646,-155.0121301943973
91000.0,-67.0635192859355,-84.06186905582103,-151.12538834175655
91250.0,-66.36446424671004,-82.08693686708958,-148.45140111379962
91500.0,-65.7663696616192,-80.7846288056626,-146.55099846728177
91750.0,-65.25404549145405,-79.97290619992187,-145.22695169137594
92000.0,-64.81602252633967,-79.56394220799808,-144.37996473433773
92250.0,-64.44345991685641,-79.51878451416425,-143.96224443102065
92500.0,-64.12943187267607,-79.83164992301747,-143.96108179569353
92750.0,-63.86844645299564,-80.52781525046107,-144.3962617034567
93000.0,-63.65611205791122,-81.67326306120314,-145.32937511911436
93250.0,-63.488901155488726,-83.40511859009823,-146.89401974558695
93500.0,-63.36397999596124,-86.02101894425432,-149.38499894021555
93750.0,-63.27908438937555,-90.31660716559152,-153.59569155496706
94000.0,-63.23242853704778,-100.13249858166093,-163.36492711870872
94250.0,-63.22263826870271,-99.10371327305539,-162.3263515417581
94500.0,-63.248702878277925,-90.04306657638114,-153.2917694546591
94750.0,-63.30994166737334,-85.93988647778707,-149.2498281451604
95000.0,-63.405982652068104,-83.43638640446096,-146.84236905652907
95250.0,-63.53675188879822,-81.79059872883076,-145.327350617629
95500.0,-63.7024726754757,-80.7196696041062,-144.4221422795819
95750.0,-63.90367459183003,-80.09234422841926,-143.99601882024928
96000.0,-64.14121304653678,-79.8456320229743,-143.98684506951108
96250.0,-64.416300786435,-79.95621477626693,-144.37251556270195
96500.0,-64.73055379842343,-80.43161597355557,-145.162169771979
96750.0,-65.08605534089209,-81.31295062126037,-146.39900596215247
97000.0,-65.48544369086962,-82.69166151735388,-148.17710520822348
97250.0,-65.93203192697501,-84.7575836808723,-150.68961560784732
97500.0,-66.42997225128721,-87.95165321884936,-154.38162547013656
97750.0,-66.9844839663128,-93.67794627403302,-160.6624302403458
98000.0,-67.60217502074264,-123.9306350634632,-191.5328100842058
98250.0,-68.29150529777604,-94.26116815131934,-162.55267344909538
98500.0,-69.06347193117975,-88.29591759879966,-157.35938952997938
98750.0,-69.93265599942632,-85.04534857522428,-154.97800457465058
99000.0,-70.91888446498518,-82.9681322119998,-153.88701667698498
99250.0,-72.04999767140356,-81.59572035994015,-153.6457180313437
99500.0,-73.36673990174857,-80.7288668140695,-154.0956067158181
99750.0,-74.93208497165051,-80.27182606474742,-155.20391103639793
100000.0,-76.85091223177244,-80.18095160558573,-157.03186383735817
100250.0,-79.31786109938555,-80.4467290825772,-159.76459018196275
100500.0,-82.76207009347594,-81.09029468454837,-163.8523647780243
100750.0,-88.49808682504991,-82.17138214035059,-170.66946896540048
101000.0,-111.11446241506519,-83.81497643757695,-194.9294388526421
101250.0,-90.01792251452693,-86.28845403762361,-176.30637655215054
101500.0,-83.69960315760045,-90.27936290660337,-173.9789660642038
101750.0,-80.14106063018501,-98.70577822690656,-178.8468388570916
102000.0,-77.676040941708,-102.17077728212146,-179.84681822382947
102250.0,-75.80523100187865,-91.44458745749444,-167.24981845937307
102500.0,-74.31052905088507,-87.01459022167121,-161.32511927255626
102750.0,-73.07691995216034,-84.36191694501008,-157.4388368971704
103000.0,-72.03628505793489,-82.62430385339485,-154.66058891132974
103250.0,-71.14494867867411,-81.4863002822038,-152.6312489608779
103500.0,-70.3732411077105,-80.80376325569435,-151.17700436340485
103750.0,-69.70010221686731,-80.50709374016337,-150.20719595703068
104000.0,-69.11006025642354,-80.56856401119194,-149.67862426761548
104250.0,-68.59143245346094,-80.99166537381599,-149.58309782727693
104500.0,-68.13519884021258,-81.81237851899455,-149.94757735920712
104750.0,-67.73426823572001,-83.11347022553478,-150.84773846125478
105000.0,-67.38298339524219,-85.06609513259399,-152.44907852783618
105250.0,-67.076777786743,-88.05805763189717,-155.13483541864017
105500.0,-66.81193174532899,-93.2481272315623,-160.0600589768913
105750.0,-66.58539567875654,-109.98380320610093,-176.56919888485746
106000.0,-66.39465969440346,-96.21329054885267,-162.60795024325608
106250.0,-66.23765612686347,-89.52837853154107,-155.76603465840455
106500.0,-66.11268589805323,-86.0417521843494,-152.15443808240263
